NamedEntity-Location: Deutschland |frequenzy: 11308
NamedEntity-Location: Vereinigten Staaten von Amerika |frequenzy: 139
NamedEntity-Location: Köln |frequenzy: 139
NamedEntity-Location: Islam |frequenzy: 138
NamedEntity-Location: Bundesminister des Innern |frequenzy: 135
NamedEntity-Location: Bundesfinanzministerium |frequenzy: 134
NamedEntity-Location: Ägypten |frequenzy: 134
NamedEntity-Location: Betroffenen |frequenzy: 132
NamedEntity-Location: Kosovo |frequenzy: 132
NamedEntity-Location: Afrikas |frequenzy: 131
NamedEntity-Location: Wand |frequenzy: 128
NamedEntity-Location: Bundesebene |frequenzy: 128
NamedEntity-Location: Amerika |frequenzy: 128
NamedEntity-Location: London |frequenzy: 125
NamedEntity-Location: Offensichtlich |frequenzy: 125
NamedEntity-Location: Südsudan |frequenzy: 125
NamedEntity-Location: Verfahrens |frequenzy: 124
NamedEntity-Location: Washington |frequenzy: 123
NamedEntity-Location: Bundeskriminalamt |frequenzy: 121
NamedEntity-Location: Minister Spahn |frequenzy: 120
NamedEntity-Location: europäischen Ländern |frequenzy: 120
NamedEntity-Location: Kurden |frequenzy: 120
NamedEntity-Location: Lindner |frequenzy: 119
NamedEntity-Location: Petra Pau |frequenzy: 118
NamedEntity-Location: Hanau |frequenzy: 118
NamedEntity-Location: Mindestlohns |frequenzy: 118
NamedEntity-Location: Stein |frequenzy: 117
NamedEntity-Location: Auswärtigen Amtes |frequenzy: 116
NamedEntity-Location: Braunschweig |frequenzy: 116
NamedEntity-Location: Brasilien |frequenzy: 114
NamedEntity-Location: Ihrem Haus |frequenzy: 114
NamedEntity-Location: Kollege |frequenzy: 114
NamedEntity-Location: BKA |frequenzy: 112
NamedEntity-Location: Sudan |frequenzy: 112
NamedEntity-Location: Portugal |frequenzy: 111
NamedEntity-Location: Scholz |frequenzy: 109
NamedEntity-Location: Wohngeld |frequenzy: 109
NamedEntity-Location: Verfassungsgericht |frequenzy: 109
NamedEntity-Location: Chinas |frequenzy: 108
NamedEntity-Location: Hohe Haus |frequenzy: 107
NamedEntity-Location: Rumänien |frequenzy: 107
NamedEntity-Location: Chinesen |frequenzy: 106
NamedEntity-Location: Argumente |frequenzy: 106
NamedEntity-Location: Kurzum |frequenzy: 106
NamedEntity-Location: Lausitz |frequenzy: 106
NamedEntity-Location: Umweltministerium |frequenzy: 106
NamedEntity-Location: Syriens |frequenzy: 105
NamedEntity-Location: Belgien |frequenzy: 104
NamedEntity-Location: Norwegen |frequenzy: 104
NamedEntity-Location: New York |frequenzy: 103
NamedEntity-Location: Bonn |frequenzy: 103
NamedEntity-Location: Niederlanden |frequenzy: 102
NamedEntity-Location: Australien |frequenzy: 100
NamedEntity-Location: Somalia |frequenzy: 100
NamedEntity-Location: Arbeitsplatz |frequenzy: 99
NamedEntity-Location: Jordanien |frequenzy: 97
NamedEntity-Location: Milliardenhöhe |frequenzy: 97
NamedEntity-Location: Großbritanniens |frequenzy: 97
NamedEntity-Location: Notz |frequenzy: 97
NamedEntity-Location: VerbraucherschutzBundesministerin |frequenzy: 96
NamedEntity-Location: Venezuela |frequenzy: 96
NamedEntity-Location: Hongkong |frequenzy: 96
NamedEntity-Location: Antifa |frequenzy: 96
NamedEntity-Location: Niederlande |frequenzy: 95
NamedEntity-Location: Defizite |frequenzy: 94
NamedEntity-Location: Diesel |frequenzy: 94
NamedEntity-Location: Breitscheidplatz |frequenzy: 94
NamedEntity-Location: Rentnern |frequenzy: 94
NamedEntity-Location: Lindh |frequenzy: 94
NamedEntity-Location: Saarland |frequenzy: 94
NamedEntity-Location: Impfungen |frequenzy: 94
NamedEntity-Location: Tschechien |frequenzy: 93
NamedEntity-Location: Marokko |frequenzy: 92
NamedEntity-Location: Vertrauen |frequenzy: 91
NamedEntity-Location: HorstSeehoferBundesminister des Innern |frequenzy: 91
NamedEntity-Location: Frieden |frequenzy: 91
NamedEntity-Location: Mitgliedern |frequenzy: 91
NamedEntity-Location: Äthiopien |frequenzy: 91
NamedEntity-Location: Start-ups |frequenzy: 90
NamedEntity-Location: Coronazeiten |frequenzy: 90
NamedEntity-Location: Lockdown |frequenzy: 90
NamedEntity-Location: Belarus |frequenzy: 89
NamedEntity-Location: Duisburg |frequenzy: 89
NamedEntity-Location: Gießkanne |frequenzy: 88
NamedEntity-Location: Pakistan |frequenzy: 88
NamedEntity-Location: zielgenau |frequenzy: 88
NamedEntity-Location: Problems |frequenzy: 88
NamedEntity-Location: Ostukraine |frequenzy: 87
NamedEntity-Location: Rechtsstaat |frequenzy: 87
NamedEntity-Location: Konzerne |frequenzy: 87
NamedEntity-Location: Tisch |frequenzy: 86
NamedEntity-Location: Wien |frequenzy: 86
NamedEntity-Location: Serbien |frequenzy: 86
NamedEntity-Location: Haustür |frequenzy: 85
NamedEntity-Location: Schuldenbremse |frequenzy: 85
NamedEntity-Location: SvenjaSchulzeBundesministerin |frequenzy: 84
NamedEntity-Location: Rehberg |frequenzy: 84
NamedEntity-Location: Mindeste |frequenzy: 83
NamedEntity-Location: Balkan |frequenzy: 83
NamedEntity-Location: Bremse |frequenzy: 83
NamedEntity-Location: Aserbaidschan |frequenzy: 83
NamedEntity-Location: fatal |frequenzy: 82
NamedEntity-Location: Coronavirus |frequenzy: 81
NamedEntity-Location: Düsseldorf |frequenzy: 81
NamedEntity-Location: Luxemburg |frequenzy: 81
NamedEntity-Location: Jahr |frequenzy: 81
NamedEntity-Location: Beek |frequenzy: 81
NamedEntity-Location: Hürden |frequenzy: 80
NamedEntity-Location: Tunesien |frequenzy: 80
NamedEntity-Location: Bulgarien |frequenzy: 80
NamedEntity-Location: Zukunftstechnologien |frequenzy: 80
NamedEntity-Location: Bundesverwaltungsgericht |frequenzy: 80
NamedEntity-Location: Geldern |frequenzy: 79
NamedEntity-Location: Aachen |frequenzy: 78
NamedEntity-Location: Langzeitarbeitslosen |frequenzy: 78
NamedEntity-Location: Brehm |frequenzy: 78
NamedEntity-Location: Reich |frequenzy: 77
NamedEntity-Location: Vereinigten Königreich |frequenzy: 77
NamedEntity-Location: Amerikanern |frequenzy: 77
NamedEntity-Location: England |frequenzy: 76
NamedEntity-Location: Agenda |frequenzy: 76
NamedEntity-Location: Rot-Grün |frequenzy: 76
NamedEntity-Location: Jobcentern |frequenzy: 76
NamedEntity-Location: Franzosen |frequenzy: 76
NamedEntity-Location: Myanmar |frequenzy: 76
NamedEntity-Location: Arbeitsplätzen |frequenzy: 76
NamedEntity-Location: Krisen |frequenzy: 75
NamedEntity-Location: Gestern |frequenzy: 75
NamedEntity-Location: Kurzarbeitergeld |frequenzy: 75
NamedEntity-Location: Germany |frequenzy: 75
NamedEntity-Location: Bundesumweltministerium |frequenzy: 74
NamedEntity-Location: FriedrichStraetmannsDIE LINKEFriedrich Straetmanns |frequenzy: 74
NamedEntity-Location: Hardt |frequenzy: 74
NamedEntity-Location: Eigenkapital |frequenzy: 74
NamedEntity-Location: BGH |frequenzy: 74
NamedEntity-Location: Schauen |frequenzy: 74
NamedEntity-Location: Niger |frequenzy: 74
NamedEntity-Location: Nordsyrien |frequenzy: 74
NamedEntity-Location: US-Präsident |frequenzy: 74
NamedEntity-Location: Ruhrgebiet |frequenzy: 73
NamedEntity-Location: LINKEFabio De Masi |frequenzy: 73
NamedEntity-Location: Bangladesch |frequenzy: 73
NamedEntity-Location: Ex |frequenzy: 73
NamedEntity-Location: Herr Minister |frequenzy: 73
NamedEntity-Location: Krischer |frequenzy: 72
NamedEntity-Location: Auswärtigen Ausschuss |frequenzy: 72
NamedEntity-Location: Wirtschaftshilfen |frequenzy: 72
NamedEntity-Location: Geburt |frequenzy: 72
NamedEntity-Location: Bundesverfassungsgerichtes |frequenzy: 72
NamedEntity-Location: Thomae |frequenzy: 72
NamedEntity-Location: Roth |frequenzy: 72
NamedEntity-Location: Ostsee |frequenzy: 72
NamedEntity-Location: kenne |frequenzy: 71
NamedEntity-Location: Westdeutschland |frequenzy: 71
NamedEntity-Location: Mandates |frequenzy: 71
NamedEntity-Location: Claudia Roth |frequenzy: 71
NamedEntity-Location: Friedens |frequenzy: 71
NamedEntity-Location: Frankreichs |frequenzy: 71
NamedEntity-Location: Georgien |frequenzy: 70
NamedEntity-Location: SebastianBrehmCDU |frequenzy: 70
NamedEntity-Location: Finnland |frequenzy: 70
NamedEntity-Location: Kita |frequenzy: 69
NamedEntity-Location: Arbeitslosen |frequenzy: 69
NamedEntity-Location: Peking |frequenzy: 69
NamedEntity-Location: Altmaier |frequenzy: 68
NamedEntity-Location: Darfur |frequenzy: 67
NamedEntity-Location: Cum |frequenzy: 67
NamedEntity-Location: pauschal |frequenzy: 67
NamedEntity-Location: Jamaika |frequenzy: 67
NamedEntity-Location: Nürnberg |frequenzy: 67
NamedEntity-Location: Kekeritz |frequenzy: 67
NamedEntity-Location: Bundesgerichtshof |frequenzy: 65
NamedEntity-Location: Fünftens |frequenzy: 65
NamedEntity-Location: Hausaufgaben |frequenzy: 65
NamedEntity-Location: Gesundheitswesens |frequenzy: 65
NamedEntity-Location: Kassen |frequenzy: 65
NamedEntity-Location: Monat |frequenzy: 65
NamedEntity-Location: Hannover |frequenzy: 64
NamedEntity-Location: Bewohner |frequenzy: 64
NamedEntity-Location: Birkwald |frequenzy: 64
NamedEntity-Location: Finanzministers |frequenzy: 64
NamedEntity-Location: Robert-Koch-Institut |frequenzy: 64
NamedEntity-Location: Gesundheitsfonds |frequenzy: 64
NamedEntity-Location: Weiter-so |frequenzy: 64
NamedEntity-Location: Ostfriesland |frequenzy: 64
NamedEntity-Location: Malta |frequenzy: 64
NamedEntity-Location: Horn von Afrika |frequenzy: 63
NamedEntity-Location: Ministerin |frequenzy: 63
NamedEntity-Location: Essen |frequenzy: 62
NamedEntity-Location: griechischen Inseln |frequenzy: 62
NamedEntity-Location: na |frequenzy: 62
NamedEntity-Location: Arm |frequenzy: 61
NamedEntity-Location: werden – |frequenzy: 61
NamedEntity-Location: Zypern |frequenzy: 61
NamedEntity-Location: Niemand |frequenzy: 61
NamedEntity-Location: Kabul |frequenzy: 61
NamedEntity-Location: Zwickau |frequenzy: 61
NamedEntity-Location: Nordkorea |frequenzy: 60
NamedEntity-Location: Hambacher Forst |frequenzy: 60
NamedEntity-Location: der Schweiz |frequenzy: 60
NamedEntity-Location: Albanien |frequenzy: 60
NamedEntity-Location: Litauen |frequenzy: 60
NamedEntity-Location: Haushalts |frequenzy: 60
NamedEntity-Location: Mietpreisbremse |frequenzy: 59
NamedEntity-Location: Hilse |frequenzy: 59
NamedEntity-Location: Baustelle |frequenzy: 59
NamedEntity-Location: Geldes |frequenzy: 59
NamedEntity-Location: Estland |frequenzy: 59
NamedEntity-Location: Südkorea |frequenzy: 59
NamedEntity-Location: Vieles |frequenzy: 58
NamedEntity-Location: Minijobs |frequenzy: 58
NamedEntity-Location: Minister Scheuer |frequenzy: 58
NamedEntity-Location: Woran |frequenzy: 58
NamedEntity-Location: Bundesrechnungshofes |frequenzy: 58
NamedEntity-Location: B |frequenzy: 58
NamedEntity-Location: Augenblick |frequenzy: 58
NamedEntity-Location: Wiederaufbaufonds |frequenzy: 57
NamedEntity-Location: Algerien |frequenzy: 57
NamedEntity-Location: Heuchelei |frequenzy: 57
NamedEntity-Location: Fehler |frequenzy: 57
NamedEntity-Location: Bergkarabach |frequenzy: 57
NamedEntity-Location: Armenien |frequenzy: 57
NamedEntity-Location: Mitteln |frequenzy: 57
NamedEntity-Location: Vereinigte Königreich |frequenzy: 57
NamedEntity-Location: Verluste |frequenzy: 57
NamedEntity-Location: Okay |frequenzy: 56
NamedEntity-Location: Dröge |frequenzy: 56
NamedEntity-Location: Laufen |frequenzy: 55
NamedEntity-Location: Südafrika |frequenzy: 55
NamedEntity-Location: Thüringer |frequenzy: 55
NamedEntity-Location: Wohnkosten |frequenzy: 55
NamedEntity-Location: Islamischen Staat |frequenzy: 55
NamedEntity-Location: Kassel |frequenzy: 54
NamedEntity-Location: Landtag |frequenzy: 54
NamedEntity-Location: Hindukusch |frequenzy: 54
NamedEntity-Location: Lauterbach |frequenzy: 54
NamedEntity-Location: Özdemir |frequenzy: 54
NamedEntity-Location: Innenstadt |frequenzy: 54
NamedEntity-Location: Genf |frequenzy: 54
NamedEntity-Location: Wirecard |frequenzy: 54
NamedEntity-Location: Nigeria |frequenzy: 54
NamedEntity-Location: Regelfall |frequenzy: 54
NamedEntity-Location: US-Präsidenten |frequenzy: 53
NamedEntity-Location: Kalifornien |frequenzy: 53
NamedEntity-Location: Windräder |frequenzy: 53
NamedEntity-Location: Krisenzeiten |frequenzy: 53
NamedEntity-Location: Stickoxide |frequenzy: 52
NamedEntity-Location: Burkina Faso |frequenzy: 52
NamedEntity-Location: Tempo |frequenzy: 52
NamedEntity-Location: Bundesfinanzminister |frequenzy: 52
NamedEntity-Location: AlexanderHoffmannCDU |frequenzy: 52
NamedEntity-Location: Risiko |frequenzy: 52
NamedEntity-Location: Canan |frequenzy: 52
NamedEntity-Location: Straßburg |frequenzy: 51
NamedEntity-Location: Kindern |frequenzy: 51
NamedEntity-Location: Wetzlar |frequenzy: 51
NamedEntity-Location: Landkreisen |frequenzy: 51
NamedEntity-Location: Wäldern |frequenzy: 51
NamedEntity-Location: Michelbach |frequenzy: 51
NamedEntity-Location: Kurzarbeitergeldes |frequenzy: 50
NamedEntity-Location: Tschad |frequenzy: 50
NamedEntity-Location: Erdogan |frequenzy: 50
NamedEntity-Location: Österreicher |frequenzy: 50
NamedEntity-Location: Martens |frequenzy: 50
NamedEntity-Location: Monaten |frequenzy: 50
NamedEntity-Location: Kurth |frequenzy: 50
NamedEntity-Location: Europarates |frequenzy: 50
NamedEntity-Location: Hohen Hauses |frequenzy: 49
NamedEntity-Location: Brandenburger Tor |frequenzy: 49
NamedEntity-Location: Tonne |frequenzy: 49
NamedEntity-Location: Umweltministerin |frequenzy: 49
NamedEntity-Location: Selbstständigen |frequenzy: 49
NamedEntity-Location: Vereinigten Arabischen Emirate |frequenzy: 49
NamedEntity-Location: Land Berlin |frequenzy: 49
NamedEntity-Location: Türken |frequenzy: 49
NamedEntity-Location: Solis |frequenzy: 49
NamedEntity-Location: Kotré |frequenzy: 49
NamedEntity-Location: Singapur |frequenzy: 49
NamedEntity-Location: Irre |frequenzy: 48
NamedEntity-Location: Mieten |frequenzy: 48
NamedEntity-Location: Nordirak |frequenzy: 48
NamedEntity-Location: Wirtschaftsministeriums |frequenzy: 48
NamedEntity-Location: GRÜNENMarkus |frequenzy: 48
NamedEntity-Location: Cansel Kiziltepe |frequenzy: 48
NamedEntity-Location: Wesentliche |frequenzy: 48
NamedEntity-Location: Oder |frequenzy: 48
NamedEntity-Location: Gesundheitsämter |frequenzy: 48
NamedEntity-Location: Müller-Gemmeke |frequenzy: 48
NamedEntity-Location: Sahelregion |frequenzy: 48
NamedEntity-Location: Nordirland |frequenzy: 47
NamedEntity-Location: Internets |frequenzy: 47
NamedEntity-Location: Dürre |frequenzy: 47
NamedEntity-Location: GRÜNENKatharina |frequenzy: 47
NamedEntity-Location: Weltklima |frequenzy: 47
NamedEntity-Location: Tätern |frequenzy: 47
NamedEntity-Location: Bundesgebiet |frequenzy: 46
NamedEntity-Location: Italiener |frequenzy: 46
NamedEntity-Location: Katar |frequenzy: 46
NamedEntity-Location: Untersuchungsausschusses |frequenzy: 46
NamedEntity-Location: Quarantäne |frequenzy: 46
NamedEntity-Location: Ausschüsse |frequenzy: 46
NamedEntity-Location: Dörfern |frequenzy: 46
NamedEntity-Location: App |frequenzy: 46
NamedEntity-Location: Idlib |frequenzy: 46
NamedEntity-Location: Eritrea |frequenzy: 46
NamedEntity-Location: Löhnen |frequenzy: 46
NamedEntity-Location: Istanbul |frequenzy: 45
NamedEntity-Location: Volksrepublik China |frequenzy: 45
NamedEntity-Location: Amtsberg |frequenzy: 45
NamedEntity-Location: Süddeutschland |frequenzy: 45
NamedEntity-Location: AfD  |frequenzy: 45
NamedEntity-Location: Klar |frequenzy: 45
NamedEntity-Location: Münster |frequenzy: 45
NamedEntity-Location: Frohnmaier |frequenzy: 45
NamedEntity-Location: Kuhle |frequenzy: 45
NamedEntity-Location: Auschwitz |frequenzy: 45
NamedEntity-Location: Bauen |frequenzy: 45
NamedEntity-Location: Morgen |frequenzy: 45
NamedEntity-Location: Gesetzentwurfes |frequenzy: 44
NamedEntity-Location: Kiel |frequenzy: 44
NamedEntity-Location: Parlamente |frequenzy: 44
NamedEntity-Location: Klimawandel |frequenzy: 44
NamedEntity-Location: Silicon Valley |frequenzy: 44
NamedEntity-Location: Brinkhaus |frequenzy: 44
NamedEntity-Location: Rostock |frequenzy: 44
NamedEntity-Location: Warschau |frequenzy: 44
NamedEntity-Location: Kreml |frequenzy: 44
NamedEntity-Location: Wales |frequenzy: 44
NamedEntity-Location: Nizza |frequenzy: 44
NamedEntity-Location: Südamerika |frequenzy: 44
NamedEntity-Location: Wagniskapital |frequenzy: 44
NamedEntity-Location: Ballungszentren |frequenzy: 44
NamedEntity-Location: Lesbos |frequenzy: 44
NamedEntity-Location: Handelns |frequenzy: 43
NamedEntity-Location: Etat |frequenzy: 43
NamedEntity-Location: Keuter |frequenzy: 43
NamedEntity-Location: Entwicklungsland |frequenzy: 43
NamedEntity-Location: Ankara |frequenzy: 43
NamedEntity-Location: Auswärtigen Ausschusses |frequenzy: 43
NamedEntity-Location: Seenot |frequenzy: 43
NamedEntity-Location: Impfkampagne |frequenzy: 43
NamedEntity-Location: Opfern |frequenzy: 43
NamedEntity-Location: Millionen |frequenzy: 43
NamedEntity-Location: Bundesinnenministeriums |frequenzy: 43
NamedEntity-Location: Sonntagsreden |frequenzy: 42
NamedEntity-Location: Neuseeland |frequenzy: 42
NamedEntity-Location: Jawohl |frequenzy: 42
NamedEntity-Location: Kongo |frequenzy: 42
NamedEntity-Location: Rekordniveau |frequenzy: 42
NamedEntity-Location: Dänen |frequenzy: 42
NamedEntity-Location: Baerbock |frequenzy: 42
NamedEntity-Location: Mittelmeerraum |frequenzy: 42
NamedEntity-Location: Signal |frequenzy: 42
NamedEntity-Location: Mexiko |frequenzy: 41
NamedEntity-Location: Wohnungsbaus |frequenzy: 41
NamedEntity-Location: Staates Israel |frequenzy: 41
NamedEntity-Location: Künast |frequenzy: 41
NamedEntity-Location: Afghanen |frequenzy: 41
NamedEntity-Location: Mir |frequenzy: 41
NamedEntity-Location: Treuhand |frequenzy: 41
NamedEntity-Location: Ansporn |frequenzy: 41
NamedEntity-Location: Nachhinein |frequenzy: 41
NamedEntity-Location: JürgenHardtCDU |frequenzy: 41
NamedEntity-Location: Glyphosat |frequenzy: 40
NamedEntity-Location: Taiwan |frequenzy: 40
NamedEntity-Location: europäischen Ebene |frequenzy: 40
NamedEntity-Location: Wählerinnen |frequenzy: 40
NamedEntity-Location: Brüsseler |frequenzy: 40
NamedEntity-Location: Malis |frequenzy: 40
NamedEntity-Location: Janecek |frequenzy: 40
NamedEntity-Location: Worten |frequenzy: 40
NamedEntity-Location: Baukindergeld |frequenzy: 40
NamedEntity-Location: Bagdad |frequenzy: 40
NamedEntity-Location: Nichtstun |frequenzy: 40
NamedEntity-Location: seid |frequenzy: 40
NamedEntity-Location: Dobrindt |frequenzy: 40
NamedEntity-Location: Pflegeeinrichtungen |frequenzy: 40
NamedEntity-Location: Landtagswahlen |frequenzy: 39
NamedEntity-Location: Bundesrechnungshofs |frequenzy: 39
NamedEntity-Location: Wissenschaftlerinnen |frequenzy: 39
NamedEntity-Location: Parlaments |frequenzy: 39
NamedEntity-Location: Wohlstands |frequenzy: 39
NamedEntity-Location: Israelis |frequenzy: 39
NamedEntity-Location: Herr Scheuer |frequenzy: 39
NamedEntity-Location: Tierwohl |frequenzy: 39
NamedEntity-Location: US-Regierung |frequenzy: 39
NamedEntity-Location: Verhältnissen |frequenzy: 39
NamedEntity-Location: Moria |frequenzy: 39
NamedEntity-Location: Teheran |frequenzy: 39
NamedEntity-Location: Ghana |frequenzy: 39
NamedEntity-Location: Maastricht-Kriterien |frequenzy: 39
NamedEntity-Location: Bundesfinanzhof |frequenzy: 39
NamedEntity-Location: Auftrag |frequenzy: 39
NamedEntity-Location: Lucassen |frequenzy: 38
NamedEntity-Location: Forum Recht |frequenzy: 38
NamedEntity-Location: irgendwas |frequenzy: 38
NamedEntity-Location: Magdeburg |frequenzy: 38
NamedEntity-Location: Vereinigten Königreichs |frequenzy: 38
NamedEntity-Location: Sozialkassen |frequenzy: 38
NamedEntity-Location: Haushaltsmitteln |frequenzy: 38
